[Wed 11:04:33] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014May/0102.html
[Wed 11:05:07] <m4nu>	scribe: dlongley
[Wed 11:05:35] <m4nu>	There is one update to the agenda - the draft charter review for the Web Payments IG.
[Wed 11:05:35] <dlehn>	No other updates.
[Wed 11:05:44] <m4nu>	Topic: Web Payments IG Charter Draft
[Wed 11:05:51] <m4nu>	The charter is here: http://www.w3.org/2014/04/payments/webpayments_charter.html
[Wed 11:06:10] <m4nu>	There are two weeks left to review the charter and get your feedback in, so if you haven't done so yet, please do so.
[Wed 11:06:30] <m4nu>	Send all comments in to: public-webpaymentsigcharter@w3.org 
[Wed 11:06:36] *	bshambaugh (~quassel@172.0.212.132) has joined #payswarm
[Wed 11:06:39] <m4nu>	Even if you agree with the entire charter, send comments in stating that you are okay with the charter in its current form. 
[Wed 11:07:03] <m4nu>	Don't worry about doing a thorough line-by-line review if you don't have the time. Some comments are better than none. 
[Wed 11:07:06] <dlongley>	m4nu: Don't worry about doing a thorough line-by-line review, some comments
[Wed 11:07:15] <m4nu>	Sections 1 and 2 are the important bits, most everything else is boilerplate and follows standard W3C practices. 
[Wed 11:07:39] <m4nu>	Read about what W3C wants specific input on: http://www.w3.org/community/webpaymentsigcharter/2014/05/15/first-draft-of-future-web-payments-interest-group-charter-published/
[Wed 11:08:06] <m4nu>	The World Wide Web Consortium will be having an Advisory Committee meeting on June 6th and 7th and the charter must be in its final form before that meeting. 
[Wed 11:09:12] <dlongley>	m4nu: We have contacted around 40 companies that have volunteered to review the charter, we sent out communications to ~185 companies, 40 will review and provide feedback, another 30 have committed engineering resources for any working groups that start up
[Wed 11:09:23] <dlongley>	m4nu: some other companies are still trying to get things passed through their legal departments so they can participate
[Wed 11:09:38] <dlongley>	m4nu: it looks like we translated momentum into some, at least, light commitments for now
[Wed 11:09:48] <dlongley>	m4nu: any other comments about the IG charter, etc.?
[Wed 11:09:50] <dlongley>	dlongley: no
[Wed 11:09:58] <m4nu>	Topic: Merchant-initiated payments
[Wed 11:10:16] <m4nu>	We're going to be looking at these use cases today: https://www.w3.org/community/webpayments/wiki/CategorizedWebPaymentsUseCases#Initiating_Payments
[Wed 11:10:39] <m4nu>	So, right now we have - Merchant-initiated request for payment.
[Wed 11:11:39] <m4nu>	dlongley: We might want to clean up the language a bit, might be fine as is?
[Wed 11:11:48] <m4nu>	Like what?
[Wed 11:12:30] <m4nu>	dlongley: We could say something like: "A user performs an action, clicks a buy button, merchant creates a payment request to be sent to customer's payment processor."
[Wed 11:12:31] <dlongley>	m4nu: "You go to a website, you click on a button and the merchant generates a purchase request to be sent to the customer's payment processor"
[Wed 11:13:59] <m4nu>	So, what about - Customer selects item to purchase on merchant's site, merchant generates a purchase request that will be processed by the customer's payment processor.
[Wed 11:14:14] <m4nu>	dlongley: ok, that's fine.
[Wed 11:15:06] <m4nu>	Topic: Customer-initiated payments
[Wed 11:15:56] <m4nu>	we have this now - Invoke payment service via URI scheme. Simple URI system - simple payment markup that developers get right.
[Wed 11:16:04] <m4nu>	dlongley: Doesn't sound like a use case, sounds more like a requirement.
[Wed 11:16:38] <m4nu>	dlongley: The merchant can put a payment link with a specific URI scheme on their website such that when a customer clicks on it, it will invoke the customer's payment service.
[Wed 11:16:47] <m4nu>	dlongley: It's a slight variant on the first case.
[Wed 11:17:15] <dlongley>	m4nu: it's really more of a URI scheme
[Wed 11:18:42] <m4nu>	Ok, so - A developer can create a payment link with a specific payment URI scheme such that when a customer clicks on it, the customer's payment processor starts the payment process.
[Wed 11:19:31] <m4nu>	dlongley: get rid of the first mention of 'payment', otherwise looks good.
[Wed 11:20:09] <m4nu>	Topic: Customer-based selection of payment processor
[Wed 11:21:04] <dlongley>	m4nu: people can have more than one payment processor, so that when someone goes to pay for something, they need to be able to pick the one they want to use for the particular purchase, so it's negotiation between customer and merchant, if merchant takes paypal and visa, then customer is given option for both of those (if the customer uses them)
[Wed 11:21:48] <m4nu>	dlongley: It's written as a requirement. So, reword to: When a customer intends to make a payment, they are given a choice of payment processor for all the payment processors they've previously registered with.
