[Wed 10:07:07] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0015.html
[Wed 10:07:12] <m4nu>	scribe: dlehn
[Wed 10:08:01] <dlehn>	m4nu: any updates to agenda?
[Wed 10:08:38] <m4nu>	Topic: IGF 2014 - Web Payments/Credentials Workshop Review
[Wed 10:08:45] <dlehn>	m4nu: We went over the IGF workshop on yesterday's Credentials CG call, so let's just refer to that discussion.
[Wed 10:09:03] <m4nu>	Here's the transcript from the Web Payments/Credentials workshop at IGF 2014: http://www.intgovforum.org/cms/174-igf-2014/transcripts/2059-2014-09-04-ws69-payment-privacy-policing-paradox-room-4
[Wed 10:09:07] *	Evgeny (4d4b990d@gateway/web/freenode/ip.77.75.153.13) has joined #webpayments
[Wed 10:09:15] <m4nu>	Here's the video from the workshop: https://www.youtube.com/watch?v=m8cIYzy5MIA
[Wed 10:10:13] <dlehn>	m4nu: we'll put together a page with that info so when talking to governments, standards orgs, etc. we can point to the page.
[Wed 10:10:37] <m4nu>	We discussed this stuff on the Credentials CG call yesterday, so we won't rehash that discussion here: http://opencreds.org/minutes/2014-09-09/#5
[Wed 10:11:14] <dlehn>	m4nu: There's the in depth talk about the workshop (link above).
[Wed 10:11:39] <dlehn>	m4nu: We'll do followup and try to get those people into the work.
[Wed 10:11:36] <m4nu>	Topic: Payment Initiation / Wallet Use Case Revisions
[Wed 10:11:50] <m4nu>	scribe: dlongley
[Wed 10:11:50] <m4nu>	Wallet / Payment Initiation use cases: https://www.w3.org/community/webpayments/wiki/UseCases
[Wed 10:12:05] <m4nu>	last time we talked about this one - Use Case: A merchant advertises different details, such as price, for an offer of sale based on potential payment processor choice.
[Wed 10:13:20] <dlehn>	m4nu: We ended on Michael Williams' comments, basically saying that we don't think we can achieve what he wants, even though we really want to.
[Wed 10:14:50] <dlehn>	dlongley: we've had discussions about this in the past, the ability to do decentralized clearing. Ripple is an option. We've also talked about using a more decentralized version of the block chain technology.  The key issue is that we need some way to "validate" monetary inputs into the system.
[Wed 10:15:18] <dlehn>	m4nu: This is all experimental technology, that's the problem. We don't have enough experience w/ it to think about standardizing it because we're not sure it scales.
[Wed 10:19:06] <mediaprophet>	A project is emerging entitled bitmark https://github.com/project-bitmark/documents/tree/master/pdf perhaps we could ask them whether some technology might exist as to provide that type of service.
[Wed 10:19:56] <dlongley>	tim: i'm not sure if the way bitmark is implemented supports that or if it can be effectively forked to achieve the needs of web payments
[Wed 10:20:11] <dlongley>	tim: in melvin's web credits system he has a decentralized blockchain that was working off of data.fm. I believe it was.
[Wed 10:20:13] <mediaprophet>	http://webcredits.data.fm/
[Wed 10:20:38] <mediaprophet>	is it closer to http://dig.csail.mit.edu/2010/Papers/IAB-privacy/httpa.pdf ??
[Wed 10:21:09] <dlongley>	m4nu: i don't think it was a decentralized block chain, you could put it anywhere, but you couldn't fork the block chain, the fundamental design we're talking about is different from centralized block chain stuff, his stuff would allow you to put the block chain somewhere on the web and everyone would have to agree to a particular history, it was each account gets its own block chain
[Wed 10:21:21] <dlongley>	tim: would this be helped if there was some sort of credentialing system?
[Wed 10:22:01] <dlongley>	m4nu: there's certainly a creds part to it, the URL/HTTP part is used for looking up where a particular resource is, the thing we've been vacillating between is using URL or some decentralized/dht system like telehash to create those URLs.
[Wed 10:22:12] <dlongley>	m4nu: using URLs only as an entry point into the decentralized credential/block chain to do reading/writing
[Wed 10:22:42] <dlongley>	m4nu: we have all these techs up in the air, if we want to make quick progress we can't make the decision to standardize telehash or some decentralized mechanism, we have to use techs that already exist, URLs, JSON-LD, IC, etc.
[Wed 10:23:12] <dlongley>	tim: it sounds like it's in an experimental field, it's something we're interested in but we don't want to steer away from critical path, it's where innovation can happen and we can participate in some way
[Wed 10:23:30] <dlongley>	m4nu: i agree, that's the response to Michael we want to have, we agree with him, we want to do what he's talking about but we need the tech to get there.
[Wed 10:23:59] <dlongley>	m4nu: he even pointed to the decentralized settlement process we have in one of our specs, but he probably doesn't know that's really experimental, we just haven't had the time to work on it
[Wed 10:24:20] <dlongley>	tim: i think bitmark has 20 active devs on the project, i've spoken to Mark, and he's shown interest in web payments
[Wed 10:24:26] <dlongley>	tim: they may be interested in participating in the CG
[Wed 10:24:39] <dlongley>	tim: maybe we can get them involved w/o having them be a constituent of our critical path
[Wed 10:25:01] <dlongley>	m4nu: yes, sounds great, i say that having no real view into technical details of bitmark yet, but if you think it would be good to look at, bring them in
[Wed 10:25:35] <dlongley>	m4nu: jorge is saying he doesn't know if a website could display a proper price. The problem is that since the person hasn't specified who their payment processor is, on the website, the website has no way of running the code for showing them the actual price.
[Wed 10:26:14] <dlongley>	m4nu: we could have some kind of API in the browser for dealing with multiple offers
[Wed 10:26:16] <m4nu>	dlongley: Right now, the merchant can enumerate different offers. The merchant can figure out how to display it.
[Wed 10:26:22] <mediaprophet>	description of Bitmark: https://twitter.com/ProjectBitmark/media
[Wed 10:26:25] <mediaprophet>	in images.
[Wed 10:27:34] <dlongley>	Manu: anything else on the use case before moving on?
[Wed 10:27:48] <dlongley>	tim: nope
[Wed 10:27:48] <m4nu>	Topic: Loyalty Cards
[Wed 10:27:48] <m4nu>	Next use case - Use Case: A buyer can associate a membership card, coupon, or similar token with a transaction to receive a discount or other benefits.
