[Wed 11:08]	<manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Jul/0006.html
[Wed 11:09]	<manu>	scribe: taaz
[Wed 11:09]	<taaz>	Manu gives overview of agenda - mostly browser Payments work today.
[Wed 11:10]	<taaz>	manu: Let's get an update from Andrei 
[Wed 11:10]	<manu>	Topic: Update on GSoC Student Progress
[Wed 11:10]	<taaz>	andreio: code able to produce listings and assets
[Wed 11:10]	<taaz>	andreio: now working on making a purchase and a marketplace
[Wed 11:10]	<voip-ps>	<unknown> (IAX2/diamondcard-12932) has joined the conference.
[Wed 11:11]	<taaz>	andreio: filed an issue with current payswarm.js module
[Wed 11:11]	<manu>	voip: 12932 is andreio
[Wed 11:11]	<voip-ps>	andreio is now associated with IAX2/diamondcard-12932.
[Wed 11:11]	<manu>	voip: 12932 is kumar
[Wed 11:11]	<voip-ps>	kumar is now associated with IAX2/diamondcard-12932.
[Wed 11:11]	<taaz>	andreio: when you try to install it there's a issue between payswarm.js and jsonld.js versions
[Wed 11:12]	*	chaals (~chaals@95.61.112.100) has joined #payswarm
[Wed 11:12]	<taaz>	dlongley: should work.  we'll look into it.
[Wed 11:12]	<taaz>	andreio: issue is on github
[Wed 11:13]	<taaz>	andreio: create asset and digitally sign it.  also create listing and associate asset with listing.  do you have to sign the whole listing?
[Wed 11:13]	<taaz>	dlongley: yes, you have to sign asset and listing
[Wed 11:13]	<taaz>	dlongley: reason you have to sign listing is so the terms you add in listing can't be changed
[Wed 11:14]	<taaz>	andreio: any restrictions to licensing?  what license should you use?
[Wed 11:14]	<taaz>	dlongley: look at demo we have.  you can use any license.  you can look at license we use.  there's a certain format but you can use any text you want.
[Wed 11:15]	*	mcavage (~mcavage@c-76-121-137-102.hsd1.wa.comcast.net) has joined #payswarm
[Wed 11:15]	<taaz>	andreio: what currency can you use?
[Wed 11:15]	<manu>	taaz: We have a w3id.org currency thing that is setup for USD, USD maps to some IRI. Other currencies would be added to it when needed.
[Wed 11:16]	<voip-ps>	<unknown> (IAX2/diamondcard-8817) has joined the conference.
[Wed 11:16]	<manu>	taaz: At present, we only support USD, but we will add more support in the future.
