[Wed 11:04:04] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Apr/0146.html
[Wed 11:04:23] <dlongley>	scribe: dlongley
[Wed 11:05:17] <dlongley>	manu: any updates or changes to the agenda?
[Wed 11:05:37] <dlongley>	bshambaugh: i may throw something in at the end about a conference (internet identity workshop)
[Wed 11:05:43] <dlongley>	manu: let's do that second on the agenda
[Wed 11:05:37] <manu>	Topic: Meetings in Silicon Valley Last Week
[Wed 11:07:02] <dlongley>	manu: I was in Silicon Valley/bay area last week and met with a number of payments companies/large tech companies, to propose a way forward for the web payments work, overall the reception was quite positive. In general after the web payments workshop happened, a number of the orgs were concerned that there wasn't really any consensus/direction that the work should proceed in, a lot of the orgs with those positions hadn't participated in a w3c workshop, tons of use cases provided not clear which to work on, a basis for the discussion we had was the blog post and the discussion on the mailing list
[Wed 11:06:57] <manu>	We mostly discussed stuff in this blog post: http://manu.sporny.org/2014/dawn-of-web-payments/
[Wed 11:08:08] <dlongley>	manu: the idea here is that there are three things that we could focus on identity, payment initiation, digital receipts... as we predicted last week, digital receipts are the least controversial, many of the people we spoke with thought that, we can definitely work on that, payment initiation was more of a toss up, meaning that people didn't seem to have an opinion on it, they though it would be fine to standardize, but they didn't know what it would look like, and after we introduced the topic to most of them they didn't have any strong feelings that we shouldn't do that
[Wed 11:08:29] <dlongley>	manu: the third thing we discussed was identity, which was someway controversial, meaning that we had put forth a proposal (Identity Credentials)
[Wed 11:08:34] <manu>	http://manu.sporny.org/2014/credential-based-login/
[Wed 11:10:03] <dlongley>	manu: the credential-based login mechanism was a proposal for something we could use for KYC, anti-money laundering, login on the web, reporting, etc. and specifically the IdC spec is set up so that it can integrate with mozilla persona, openID connect, or be its own login mechanism, some large corps said they'd have a problem with it competing with openID connect, and they wanted it to integrate nicely rather than provide another login mechanism, there were some orgs that did feel a more decentralized login mechanism on the web and openID connect was not the best approach but this was a minority opinion
[Wed 11:10:19] <dlongley>	manu: so we're going to change tactics a bit to make sure we can get this working with OpenID Connect
[Wed 11:10:40] <dlongley>	manu: we're still waiting on w3c to publish the workshop result, it should be at some point near the end of this week, and then we'll find out when the actual interest group will start up
[Wed 11:10:50] <dlongley>	manu: any questions?
[Wed 11:10:51] <dlongley>	none, group moves on.
[Wed 11:11:06] <manu>	Topic: Internet Identity Workshop
[Wed 11:11:17] <bshambaugh>	http://www.internetidentityworkshop.com/
[Wed 11:11:47] <dlongley>	manu: could you give a quick run down out of what you hope to get out of the workshop?
[Wed 11:12:13] <dlongley>	bshambaugh: i was working on the use cases and started getting concerned about the identity aspect. I was also talking with Doc Searls, who runs the Internet Identity Workshop.
[Wed 11:12:51] <dlongley>	manu: this year they're focusing privacy, surveillance, as well as payments
[Wed 11:13:40] <dlongley>	manu: if you can point them to Identity Credentials that would be good, with respect to payments and privacy, we're putting together use cases for payments+identity, and if people are interested in identity then they should be interested in the work the web payments CG is doing, especially since w3c is planning on launching further work
[Wed 11:13:54] <dlongley>	manu: brent, anything else you're thinking of doing there?
[Wed 11:14:08] <dlongley>	bshambaugh: my view was to get a better understanding of what you're doing with identity and then talk about it there
[Wed 11:14:09] <dlongley>	manu: ok
[Wed 11:14:25] <dlongley>	manu: anything else on the internet identity workshop?
