[Tue 22:01:50] <dlongley>	scribe: dlongley
[Tue 22:01:52] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments/2015Jan/0007.html
[Tue 22:02:22] <dlongley>       Date: 2015-01-14
[Tue 22:02:22] <dlongley>       Present+ Tim
[Tue 22:02:22] <dlongley>	manu: Most of these calls will be reviews because there's so much happening in the Web Payments IG (which has 3 calls) it's hard to keep up.
[Tue 22:02:45] <dlongley>	manu: It's a flurry of activity to try and get ready for the f2f that's happening next month. So we'll go through the things happening around payments and credentials.
[Tue 22:02:58] <dlongley>	manu: It's good that we're so busy.
[Tue 22:03:24] <manu>	Topic: Web Payments IG Update
[Tue 22:04:12] <dlongley>	manu: The IG is having 3 weekly calls. We have a call on Tuesday 9am ET, that is the "all hands" web payments IG meeting, one at Thursday 12pm ET, which is a use cases task for meeting and a call on Friday 9:30am ET which is a payment agent task force meeting.
[Tue 22:04:32] <manu>	Meeting minutes for Web Payments IG: https://www.w3.org/Payments/IG/wiki/Main_Page#Recent_Meetings
[Tue 22:04:53] <manu>	Upcoming Web Payments IG meetings: https://www.w3.org/Payments/IG/wiki/Main_Page#Upcoming_Meetings
[Tue 22:05:39] <dlongley>	manu: The meetings are going well, people from Bloomberg, [missed] all providing really good input. It's good and we're making rapid progress.
[Tue 22:06:40] <manu>	Here's the use cases wiki for the Web Payments IG: https://www.w3.org/Payments/IG/wiki/Use_Cases_Task_Force#Status
[Tue 22:06:41] <dlongley>	manu: The Web Payments CG, this group, worked on a set of use cases that we got from the Web Payments workshop from last year. Those use cases are now integrated into the Web Payments IG wiki, which is what we wanted. All these groups have their ability to say what they wanted about the use cases and they are now getting integrated into an official document (FPWD).
[Tue 22:07:34] <dlongley>	manu: The use cases get hashed out in the wiki and once the group feels that they are ready to get into the FPWD.
[Tue 22:07:39] <manu>	Here's a link to the pre-FPWD Web Payments IG Use Cases document: https://dvcs.w3.org/hg/webpayments/raw-file/default/latest/use-cases/index.html
[Tue 22:08:07] <dlongley>	manu: So these use cases have been vetted by multiple groups and are not getting, over time, into the FPWD.
[Tue 22:08:58] <dlongley>	manu: The FPWD won't have all of the use cases, it will have just the ones that we've found to be the highest priority. We have so much input in just the use cases document, literally hundreds of use cases, areas from X9, US Fed, [missed], there's an immense amount of material to go through and boil down, the group is working on that.
[Tue 22:09:11] <dlongley>	manu: Any questions on use cases before we move on?
[Tue 22:09:13] <dlongley>	none
[Tue 22:09:19] <manu>	Next group is the Payment Agent Task Force
[Tue 22:10:07] <dlongley>	manu: A Payment Agent is effectively a software program like a User Agent is a browser, for example. A Payment Agent does payment transactions, etc. We're looking at how to express everything that this Payment Agent does.
[Tue 22:10:09] <manu>	Here's one view of payment flows for the payment agent: https://www.w3.org/Payments/IG/wiki/Payment_Agent_Task_Force#Flows_and_Protocols
[Tue 22:10:46] <manu>	We're also exploring a transaction-phase based approach to explain details about the payment agent: https://lists.w3.org/Archives/Public/public-webpayments-ig/2015Jan/0006.html
[Tue 22:10:55] <manu>	https://docs.google.com/document/d/1q_1OA1FPE1L-jkXlvu89RFSJ3FGWeHyw5SUJotfiACk/edit
[Tue 22:11:46] <dlongley>	manu: We haven't quite figured out what we're going to do with the Payment Agent document but things are coming together. We're discussing how to best tell the story about what the Payment Agent does. We're going to break apart the technology stack to figure out how to make these things happen.
[Tue 22:12:42] <dlongley>	manu: All of this work is being done as a precursor to the third f2f meeting for the payments work, which will happen in Rabobank headquarters in Utrecht, Netherlands on Feb 2-4.
[Tue 22:13:05] <dlongley>	manu: We're going to talk about everything we typically talk about in these web payments things: security, digital receipts, transactions, and credentials.
[Tue 22:13:23] <dlongley>	manu: If there's nothing else on the Web Payments IG update, we'll jump to the Credentials CG update.
[Tue 22:13:26] <dlongley>	manu: Any questions?
[Tue 22:13:27] <dlongley>	none
[Tue 22:13:31] <manu>	Topic: Credentials CG Update
[Tue 22:14:10] <manu>	Credentials Roadmap document: https://docs.google.com/document/d/19pnLioDVOoTl5ScUHgf_Bj9gUpQBHyShrnDoY_uz20c/edit
[Tue 22:14:25] <dlongley>	manu: The Credentials CG is moving along pretty well. Unfortunately, I don't think the roadmap document is public just yet but I'll provide the link to it [as it will open up].
[Tue 22:14:25] <dlehn>	(it's not public)
