[Wed 11:02:38] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Apr/0018.html
[Wed 11:02:43] <dlongley>	scribe: dlongley
[Wed 11:02:57] <manu>	voip: mute bshambaugh 
[Wed 11:02:58] <voip-ps>	SIP/107.196.157.162-00000013 has been muted.
[Wed 11:03:39] <dlongley>	manu: Additional to agenda, Joseph said he wanted to talk about UNCITRAL stuff he'll be involved in during the next few weeks.
[Wed 11:04:04] <dlongley>	manu: any other updates/changes to the agenda?
[Wed 11:04:04] <dlongley>	taaz: nope
[Wed 11:04:04] <dlongley>	No other updates noted.
[Wed 11:04:06] <manu>	Topic: Internet Governance Forum 2014
[Wed 11:04:13] <manu>	http://www.intgovforum.org/cms/
[Wed 11:04:56] <voip-ps>	Joseph Potvin (SIP/getonsip.com-00000016) has joined the conference.
[Wed 11:04:57] <dlongley>	manu: if folks will remember, last year we participated in the IGF, as a result, a number of orgs from there came to the web payments workshop, specifically, the british computer society, they had great input on identity, the world bank came as well, played a very big part talking about needs of world w/web payments
[Wed 11:05:03] <dlongley>	manu: there were a number of other orgs as well, it was a very good outcome based on our participation in IGF.
[Wed 11:05:14] <dlongley>	manu: so we should think heavily about how we should participate, Pindar, any thoughts?
[Wed 11:06:06] <dlongley>	pindar: yeah, i'd like to speak in favor of our participation, if you recall last year we tried to design it so there were follow-on activities, so it would be more than just talking about policy issues involved, i'd like to also structure it so that any output from this years IGF and any other meetings can be fed into W3C this year
[Wed 11:06:43] *	jpotvin (cef886e4@gateway/web/freenode/ip.206.248.134.228) has joined #payswarm
[Wed 11:06:52] <dlongley>	pindar: one of the things that came up from last year was the tremendous interest in the web payments work and we'd like to deal with the issues more than just once a year, there's an interest in more than just talking about the issues, wanting to move forward w/actions
[Wed 11:07:59] <dlongley>	manu: talking about where we should take what can be standardized is what we want to do, we have to get into consumer rights issues, anonimity issues things we got from talking about identity at the workshop, outlining the stuff that will happen at w3c on identity and getting input from IGF and talk about getting them to influence the work by discussing w3c's official group that will be looking at this
[Wed 11:08:16] <manu>	voip: mute jpotvin
[Wed 11:08:19] <dlongley>	manu: we're going to be creating technical standards, if people at IGF want to get involved they can come to w3c and work with the group
[Wed 11:08:26] <manu>	voip: mute 0016
[Wed 11:08:27] <voip-ps>	SIP/getonsip.com-00000016 has been muted.
[Wed 11:08:37] <manu>	voip: 0016 is jpotvin
[Wed 11:08:37] <voip-ps>	jpotvin is now associated with SIP/getonsip.com-00000016.
[Wed 11:08:44] <dlongley>	pindar: yes, moving from the theoretical to the practical is very important, the deadline is 15th of april, so if we want to participate we have to get cracking
[Wed 11:08:54] <dlongley>	pindar: i'd be very happy to work with you to get something put together
[Wed 11:09:16] <dlongley>	pindar: i think seeing the results from last time is a positive indicator we should go, it would be worth while, i'd be happy to work with you to flesh out a proposal
[Wed 11:09:46] <manu>	dlongley: I agree w/ Pindar's thoughts - getting more feedback on the identity work would be helpful.
[Wed 11:10:05] <dlongley>	manu: pindar were you thinking of focusing on web payments or identity+web and security implications, etc?
[Wed 11:10:45] <dlongley>	pindar: given response from last year, the interface between identity and web payments is the crux of the issue and the IGF is a really good place to have dialog about interfacing, the issue of identity+identifiers with respect to payments is where we ought to focus
[Wed 11:11:25] <dlongley>	pindar: its the interface that's important, the payment is the motivation. Ddealing with the interplay with identity and anonymity is important and vital to address, etc.
[Wed 11:12:01] <dlongley>	pindar: last year i made a mistake of not controlling presentation time and we can correct that this year and get a lot of good policy-level feedback on areas we would not normally have access to
[Wed 11:12:23] <bshambaugh>	+1
[Wed 11:12:25] <dlongley>	manu: the one thing we were really missing at the web payments workshop was that kind of policy input, so IGF is important to get feedback from
[Wed 11:12:42] <dlongley>	manu: so maybe Pindar and i can take this offline and report back to CG later
[Wed 11:12:56] <dlongley>	pindar: i'll have some time to work on this for the next few days
[Wed 11:13:00] <dlongley>	manu: Good, let's work together on this. We'll take it offline and report back to the group when we have it figured out. Anything else on IGF?
[Wed 11:13:02] <manu>	voip: unmute jpotvin
[Wed 11:13:02] <dlongley>	Nothing else on IGF.
[Wed 11:13:03] <voip-ps>	jpotvin has been unmuted.
[Wed 11:13:42] <manu>	Topic: Getting United Nations' CITRAL Involved
[Wed 11:13:50] <dlongley>	jpotvin: Is anyone familiar with UNCITRAL?
[Wed 11:13:54] <dlongley>	pindar: yes, i am a bit
[Wed 11:15:33] <dlongley>	jpotvin: they focus on international trade law has some working groups for ecommerce and has a number of initiatives that seem to me to provide the legal environment in which the whole discussion w/w3c web payments seems to be situated, they way it works is they have delegates from numerous countries, they've been doing ecommerce since 80s, countries have their own legal positions, they produce a model/template law and that is taken and interpreted into the legal context of each participating country, as a result each country's legal tradition comes in, but across borders there are some common things that come into play because of the template, etc.
[Wed 11:16:33] <dlongley>	jpotvin: a fair bit of work on nitty gritty details of ecommerce trying to determine the specific thing that is being moved around with the various ecommerce payments alternatives, whether a digital packet of money going around or is meta data about money, and if meta data, what is it, is it a bill of exchange a promisory note, etc. when writing software you have to be really clear about classes and properties, etc.
[Wed 11:17:11] <dlongley>	pindar: the point about terminology about promissory notes and negotiable instruments, and getting to know the terminology in this space is really important if only to avoid potential friction later on, the terminology is quite key
[Wed 11:17:20] <manu>	q+ to ask about the speed at which the two groups can operate.
[Wed 11:17:21] <voip-ps>	Added manu to the speaker queue: manu
[Wed 11:18:03] <dlongley>	jpotvin: To give an example of the degree of headache: in 1978, the Bank of Montreal was shipping dollar $5 bills and had an accident where the truck transporting the bills burned. The legal case went to the Supreme Court and question was whether or not the Bank of Canada should re-issue the those $5 bills. Are these bill "money itself" or are they "promissory notes" for the money?  The result was a Supreme Court split decision 3-3. An interesting case synopsys is here: http://www.rdo-olr.uottawa.ca/index2.php?option=com_sobi2&sobi2Task=dd_download&fid=891&Itemid=842
[Wed 11:18:12] <dlongley>	jpotvin: even at highest court there is disagreement with what we're dealing with
[Wed 11:18:51] <dlongley>	jpotvin: in the case of w3c potential specifications, i don't think we want to have ambiguity about the classes we're dealing with, so there's a legal side and a technical side to this, on tech side legal stuff becomes requirements for what's being coded, etc.
[Wed 11:19:31] <dlongley>	jpotvin: accounting entries that cause numbers to go up/down aren't money moving around and are at a level of systems architecture but it will be problematic if the community gets them wrong and courts start deciding that things are invalid
[Wed 11:35:20] <jpotvin>	Example link on UNCITRAL: http://www.uncitral.org/pdf/english/workinggroups/wg_4/wp_120_e.pdf
[Wed 11:20:06] <dlongley>	manu: i definitely agree that we need to get the terminology right and make sure that it lines up with international law, my concern is that we dont' want to create some kind of blocking item that prevents tech work from happening because we're waiting for legal decision to play out
[Wed 11:20:21] <dlongley>	manu: this is the UN so it works in broad strokes, not low-level technical detail
[Wed 11:20:44] <voip-ps>	jpotvin (SIP/getonsip.com-00000016) has left the conference.
[Wed 11:20:51] <dlongley>	manu: there may be a mismatch with high-level vs. low-level language and a speed mismatch with how quickly w3c can work vs. UN
[Wed 11:21:48] <dlongley>	pindar: the phasing and expectations of when useful output from this group might interface is quite an important one, i think there is a phasing issue where these processes are deliberate and slow moving but i wouldn't actually say them informing our process is the right perspective, i'd look at it the other way around, getting them to shape their processes as ours evolve, the flow of the direction is a little bit back to front
[Wed 11:22:14] <dlongley>	manu: I think that since Joseph is volunteering to participate in that work and is very motivated to do so, we should have him  reach out to that group and be the liason.
[Wed 11:22:25] <dlongley>	pindar: absolutely, i'm in full  support, nothing i've said should imply otherwise
[Wed 11:22:40] <dlongley>	manu: i agree, joseph should reach out and liaise with them
[Wed 11:22:47] <voip-ps>	Joseph Potvin (SIP/getonsip.com-00000017) has joined the conference.
[Wed 11:22:57] <dlongley>	manu: but i agree with you pindar that the faster moving w3c process should inform the slower moving UN proecss
[Wed 11:23:07] <dlongley>	pindar: after first year they should be very aware of this group's existence
[Wed 11:23:59] <dlongley>	manu: so in general, if Joseph wants to interface with that group, we should make first contact with them, make them aware of the work at W3C CG and the potential upcoming IG, and we want faster moving group to provide input to the slower moving group (faster=w3c cg, slower=UN)
[Wed 11:24:10] <dlongley>	manu: and then there's a feedback loop where we get input from UN and put back into w3c cg
[Wed 11:24:38] <dlongley>	jpotvin: i was just talking to someone on phone about w3c having observer status with that working group and i will follow up
