[Tue 21:37:32] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0126.html
[Tue 21:37:36] <dlongley>	scribe: dlongley
[Tue 21:38:08] <dlongley>	m4nu: anything to add to the agenda?
[Tue 21:38:17] <taaz>	nope
[Tue 21:38:41] <m4nu>	Actually, one thing to add to the agenda - we need to review IGF stuff
[Tue 21:38:49] <m4nu>	Topic: IGF Workshop on Identity
[Tue 21:38:49] <m4nu>	Here's the workshop description: http://www.intgovforum.org/cms/wks2014/index.php/proposal/view_public/69
[Tue 21:39:02] <dlongley>	m4nu: the deadline to update that is on the 20th, which is this friday
[Tue 21:39:11] <pindar>	I will email IGF a/c details by email to Manu
[Tue 21:39:23] <dlongley>	m4nu: i've sent emails out to bloomberg, mozilla, US fed, some others
[Tue 21:39:32] <dlongley>	m4nu: i've asked them to confirm by the 20th if they haven't already
[Tue 21:40:10] <dlongley>	m4nu: the other issue is that there was a problem trying to submit what we were trying to submit to the IGF, and pindar submitted that on my behalf, so only he can edit the proposal, but i can't edit the proposal so i'll have to send the edits through pindar and make sure he applies those
[Tue 21:40:30] <dlongley>	m4nu: i think we answered all the questions the IGF asked of us, in fact we had answered them before, meaning that the things that they asked us to clarify we had already clarified
[Tue 21:41:07] <dlongley>	m4nu: so they wanted the complete list of panelists with their status as confirmed, we're trying to confirm them, the agenda of the workshop which we have, and they want a remote mod for the workshop which we also put in the proposal
[Tue 21:41:21] <dlongley>	m4nu: they want to increase gov't participation in the panel and we've asked the US fed to join
[Tue 21:41:41] <dlongley>	m4nu: we asked w3c, world bank, bloomberg, and mozilla to respond
[Tue 21:41:50] <dlongley>	m4nu: we think w3c and think world bank will be there
[Tue 21:41:51] <pindar>	That’s great if the US Fed can join
[Tue 21:42:03] <dlongley>	m4nu: we can try and bring the ripple folks in as well and i think i sent something out to ask them to participate
[Tue 21:42:20] <dlongley>	m4nu: they asked us to frame the policy questions more clearly. I'll update the current proposal.
[Tue 21:48:07] <m4nu>	Topic: Whitelisting 
