[Tue 21:34:44] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0039.html
[Tue 21:34:48] <voip-ps>	timothy holborn (SIP/getonsip.com-0000010f) has joined the conference.
[Tue 21:35:08] <dlongley>	scribe: dlongley
[Tue 21:35:22] *	mediaprophet (~mediaprop@c211-30-43-225.frank3.vic.optusnet.com.au) has joined #payswarm
[Tue 21:36:38] <dlongley>	m4nu: Additions to the Agenda: We should add two things to the agenda, one is the Identity Credentials demo and the other is the meeting with the US Fed tomorrow that's part of the extension of the work we started with them at the Paris workshop. Any other additions?
[Tue 21:36:39] <pindar> none from me.
[Tue 21:36:39] <taaz> Nope.
[Tue 21:36:58] <m4nu>	Topic: US Federal Reserve Meeting
[Tue 21:37:34] <dlongley>	m4nu: tomorrow i'm headed to the US Fed bank in Kansas City, we've made good contacts with the US Fed, they are very interested in sending someone to join the web payments work
[Tue 21:37:43] <dlongley>	m4nu: they are making sure they have someone assigned to us
[Tue 21:37:50] <dlongley>	m4nu: so we have solid contacts in the US Fed now.
[Tue 21:38:26] <pindar> please keep in view regulatory FinTech evolution from others jurisdictions such as in Asia Pac
[Tue 21:38:29] <dlongley>	m4nu: as a result of that we should be able to get in front of a lot of banks and financial institutions, mainly because the US Fed has said that they are really pushing forward to make payments faster and more secure in the US and they are looking for different ways to do it both in and outside the financial industry and the web payments work is somewhat outside it so they are interested in what we're doing here.
[Tue 21:38:44] <dlongley>	m4nu: we'll be meeting with some of the people we'll be directly working with on the web payments stuff.
[Tue 21:38:47] <dlongley>	m4nu: any questions on that upcoming meeting?
[Tue 21:38:52] <dlongley>	pindar: none
[Tue 21:39:05] <m4nu>	Topic: Identity Credentials Proof of Concept
[Tue 21:39:40] <m4nu> Background on this topic is here: http://manu.sporny.org/2014/identity-credentials/
[Tue 21:39:40] <pindar> Haven’t had time to do a decent first pass. Comments thus far looks encouraging. I will need about 2 days
[Tue 21:39:42] <dlongley>	m4nu: if you've been tracking the mailing list, finally we were able to send out and release all the source code for a demo on identity security and Identity Credentials, it has to do with some of the stuff we're going to be talking about at IGF in Turkey later this year
[Tue 21:40:44] <dlongley>	m4nu: what we release is what we believe to be a fairly fully-designed solution for doing high-stakes credentials on the web, if you need to prove who you are to a website, if you need to transmit a gov't issued ID card, or whether you are over the age of 18, 21, 55, 65, etc. if you want to transmit some gov't security clearance ... or something as simple as your shipping address, email address, phone number, the demo we just released outlines how you do that in a decentralized way
[Tue 21:41:14] <pindar> You *do* realize that this is *the* question to try to solve. Now we need to verify the Internet dog’s name in a distributed way. 
[Tue 21:41:19] <dlongley>	m4nu: now someone can own all of the credentials that are associated with their identity and send them on an as needed basis, it's in the same ballpark as OpenID Connect, we hope it's much more secure, decentralized, and privacy-aware than the other solutions out there
[Tue 21:41:38] <dlongley>	m4nu: we're putting this out there to get the conversation going on how we think the solution should work
[Tue 21:41:52] <pindar> We should update the IGF website to point to this and find a mechanism to get this outthere to start the dialogue in advance of the Istanbul meeting
[Tue 21:41:58] <dlongley>	m4nu: this has a lot to do with payments because to do high-value payments you need KYC, customer clearing, anti-laundering, etc.
[Tue 21:42:35] <dlongley>	m4nu: we have 10 days to do that [what pindar is saying]
[Tue 21:42:43] <pindar> great thanks!
[Tue 21:42:48] <dlongley>	m4nu: my focus is getting the IGF proposal in shape and getting the people invited
[Tue 21:43:39] <voip-ps>	Pindar Wong (SIP/getonsip.com-00000110) has joined the conference.
[Tue 21:43:53] <dlongley>	mediaprophet: people looking at this at different ways [missed] ... JSON-LD, turtle, [missed] is another big one, i think that there's a feeling that [missed] that technology [missed] to secure a person's status
[Tue 21:44:24] <dlongley>	m4nu: i think there's a misunderstanding where WebID+TLS fits in with Identity Credentials, they are interoperable at the most basic level
[Tue 21:44:28] <mediaprophet>	Might type it: these crediential systems; can support RWW systems...
[Tue 21:44:29] <dlongley>	mediaprophet: i agree with you
[Tue 21:44:44] *	dlongley mediaprophet much better right now
[Tue 21:44:50] <dlongley>	mediaprophet: there are two factors in there
[Tue 21:46:20] <dlongley>	mediaprophet: there are two factors, one is that FOAF represents an agenda, i interpret as a persona or person... this maps to a WebID TLS cert, which doesn't denote what the basis of that relationship [missed] ... where you are storing all the data on your web server, for example, one of the benefits i saw immediately, was that the IC system was quite clearly indicating a legal statement about a person, i think that's relevant
[Tue 21:48:06] <voip-ps>	Pindar Wong (SIP/getonsip.com-0000010b) has left the conference.
[Tue 21:48:11] <dlongley>	mediaprophet: what i can gather is that if i want to set up [missed], if i want to sync all my own apps [missed], [missed echo], worldwide i can do whatever i want, it's mine ... and the data that i store is a decision i make [missed], the IC tech seems to communicate that very well, not only does that communicate that with a Web ontology, it makes it possible to verify those facts, at the end of the day i validated that service,  here's my passport, it's only validated for me, [missed], the framework ...
[Tue 21:48:48] <mediaprophet>	essentially; i’m saying identity credientials; states clearly who is the owner of the crediential
[Tue 21:49:12] <mediaprophet>	the ability to create ‘persona’ perahps using FOAF documents; attached to a real identity - seems like what is needed for RWW
[Tue 21:49:01] <dlongley>	m4nu: let's continue the discussion on the mailing list, i think most people are aligned
[Tue 21:49:31] <mediaprophet>	+1
[Tue 21:49:35] <m4nu>	dlongley: What Tim said was that identity credentials are more clear that you're talking about a particular person.
[Tue 21:49:38] <mediaprophet>	+1 essentially...
[Tue 21:49:48] <mediaprophet>	it’s clear about the legal entity that is being defined
[Tue 21:49:51] <pindar> Let’s take it to the list. One problem might be what data is considered’ free game’ in the Public Domain (like one’s name) 
[Tue 21:50:32] <pindar> this will make the iGF discussion productive and tangibly meaningful
[Tue 21:50:36] <voip-ps>	timothy holborn (SIP/getonsip.com-0000010f) has left the conference.
[Tue 21:50:41] <dlongley>	m4nu: in any case, i think we're good, i think what we have out there is a proof of concept, we'll need to discuss in more detail, and see what people like and where we are aligned, it took us too long to get it out there but we were busy and we felt we needed to get something out there to ground the discussion because anders and some other didn't understand how identity played into this
[Tue 21:51:11] <dlongley>	m4nu: this is an attempt at getting this out there to say what identity and credentials are out there and important and now with some grounding we can discuss it, it will be confusing over the next couple of weeks but now it's done and it helps w/discussion
[Tue 21:51:19] <dlongley>	m4nu: this makes it more tangible so people don't think we're just talking theory
[Tue 21:51:21] <dlongley>	m4nu: we have an implementation
[Tue 21:51:26] <pindar> YES! :)
[Tue 21:51:31] <dlongley>	m4nu: we can point and say "this is what we're talking about"
[Tue 21:51:34] <mediaprophet>	I’m really very impressed with the solution; however believe that it is important for the developer community to see how this POC can work with RWW 
[Tue 21:51:40] <dlongley>	m4nu: "so can we get some feedback"
[Tue 21:51:49] <dlongley>	m4nu: we can have the rest of the discussion on the mailing list
[Tue 21:51:59] <mediaprophet>	:)
[Tue 21:52:04] <pindar>	:)
[Tue 21:52:41] <m4nu>	Topic: Registration-less Purchases
[Tue 21:53:25] <dlongley>	m4nu: the idea here is that people should be able to join [visit?] a website and without having to enter your shipping info, username, etc. .. we want people to go to a site and click buy and finish the purchase without having to create an entire account on the site
[Tue 21:53:28] <m4nu>	https://www.w3.org/community/webpayments/wiki/CategorizedWebPaymentsUseCases
[Tue 21:53:33] <voip-ps>	timothy holborn (SIP/getonsip.com-00000111) has joined the conference.
[Tue 21:54:09] <m4nu>	What we have right now is this: Make it simple to register as a new customer (get rid of the registration step, if possible, or make it transparent).
[Tue 21:54:24] <voip-ps>	Pindar Wong (SIP/getonsip.com-00000112) has joined the conference.
