[Wed 10:05:13] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Oct/0058.html
[Wed 10:05:15] <dlongley>	scribe: dlongley
[Wed 10:06:10] <dlongley>	manu:Today is a quick intro of James Dailey and his interest in the group and then W3C TPAC Web Payments CG Presentation, talking about the roadmap, and then reviewing use cases feedback. Any questions or changes?
[Wed 10:06:22] <m4nu>	Topic: Introduction to James Dailey from Mifos
[Wed 10:06:20] <jdailey>	http://mifos.org/
[Wed 10:08:19] <dlongley>	jdailey: Started about 8 years ago to bring an open platform to microfinance, we've expanded and rewritten it to be a core transaction platform and used for retail for direct banking, we have 100s of implementations globally, we have several dozen integrators, to serve the needs of their banking partners, it's completely open source, it's Java, MySQL, etc. We have a pretty involved API, connecting to the Web interfaces, etc. I'm interested in integrating a Web payments platform or mobile payments platform with our system. We want to put this up in the cloud and offer a full stack for mobile payments in various countries, etc.
[Wed 10:08:44] <dlongley>	manu: That sounds great and fairly aligned with the kind of stuff we're working on here, something like mifos would be good to prove interoperability.
[Wed 10:08:53] <dlongley>	m4nu: Have you dealt with W3C in any way before?
[Wed 10:09:18] <dlongley>	jdailey: Way back in the 90s I was working on the OASIS project.
[Wed 10:09:25] <dlongley>	m4nu: I was wondering if you're a W3C member.
[Wed 10:09:30] <dlongley>	jdailey: Nope.
[Wed 10:09:58] <dlongley>	m4nu: The CG is completely open and anyone can join, but the reason I ask is that there would be an interest in getting you involved in the Working Groups that get spun up.
[Wed 10:10:16] <dlongley>	m4nu: We'd like to have you be represented in the technical work, we don't have any open source/banking/financial platforms involved right now.
[Wed 10:10:22] <dlongley>	m4nu: Is the org a non-profit?
[Wed 10:10:32] <dlongley>	jdailey: Yes, and it's based in Seattle, but we're very virtual.
[Wed 10:10:57] <dlongley>	m4nu: Great, that's aligned with W3C (also very virtual). We'd like to have your area of expertise represented in the group, we'll take more of this offline.
[Wed 10:11:26] <dlongley>	m4nu: Moving forward, we'd be interested in hearing if we're meeting the needs of the mifos platform, it's a perfect example of where we'd like to see the technology used.
[Wed 10:12:01] <dlongley>	jdailey: I'm not one of the devs on the platform on this point. There's a regular dev call on Thursdays that anyone can join. For now I'm getting a feel for where you guys are at and looking at your archive and getting where the state is.
[Wed 10:12:06] <dlongley>	m4nu: Ok, great.
[Wed 10:12:08] <m4nu>	Topic: W3C TPAC - Web Payments CG Presentation
