[Wed 11:05:07] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Mar/0128.html
[Wed 11:05:19] <voip-ps>	Dave Lehn (SIP/6003-00000215) has joined the conference.
[Wed 11:05:12] <m4nu>	scribe: evan
[Wed 11:05:12] <evan>	manu: Any changes to the agenda? *long pause* If not, moving on.
[Wed 11:05:57] <m4nu>	Topic: Web Payments Workshop Agenda
[Wed 11:06:05] <m4nu>	http://www.w3.org/2013/10/payments/agenda.html
[Wed 11:06:51] <evan>	manu: agenda is almost finalized. ton of big multinational companies and startups attending. only thing that's weak at the conference is participation by retailers and regulators
[Wed 11:07:34] <evan>	manu: 6 sessions, each 2 hours, mostly attendee-driven, main purpose of speakers is to kickstart discussion
[Wed 11:07:57] <m4nu>	Session 1 — Overview of Current and Future Payment Ecosystems
[Wed 11:08:19] <m4nu>	Session 2 — Toward an Ideal Web Payment Experience
[Wed 11:08:55] <m4nu>	Session 3 — Back End: Banks, Regulation, and Future Clearing
[Wed 11:09:39] <m4nu>	Session 4 — Enhancing the Customer and Merchant Experience
[Wed 11:10:05] <m4nu>	 Session 5 — Front End: Wallets - Initiating Payment and Digital Receipts
[Wed 11:10:37] <m4nu>	Session 6 — Identity, Security, and Privacy
[Wed 11:11:22] <m4nu>	Papers that were accepted are at the bottom of the page: http://www.w3.org/2013/10/payments/agenda.html
[Wed 11:11:23] <evan>	manu: accepted papers for the workshop can be found on conference page
[Wed 11:12:29] <voip-ps>	<unknown> (IAX2/diamondcard-5749) has joined the conference.
[Wed 11:12:30] <evan>	manu: papers that were not accepted will not be shown on the conference webpage because some of them were quite bad and got bad reviews, authors that want theirs published can publish them through other means
[Wed 11:12:39] <evan>	manu: conference starts next monday, fantastic group coming to it
[Wed 11:12:57] <evan>	manu: all of the minutes will be made public shortly after, if not during the conference
[Wed 11:13:13] <evan>	manu: pindar has asked if we can record the video or audio of the conference, we'll have to ask w3c
[Wed 11:13:38] <evan>	manu: W3C might agree to it, unless the PC or attendees don't want it to happen, or if there isn't the time to set it up
[Wed 11:13:44] <m4nu>	voip: connections?
[Wed 11:13:45] <voip-ps>	Conference connections: bshambaugh [SIP/192.168.1.122-00000214], IAX2/diamondcard-5749, <no name> [IAX2/diamondcard-4587], Dave Longley [SIP/6002-00000213], Manu Sporny [SIP/6000-00000212], Dave Lehn [SIP/6003-00000215]
[Wed 11:14:25] <m4nu>	Topic: Web Payments Mobile Use Cases
[Wed 11:14:29] <m4nu>	Would you mind giving us an overview of the use cases you've been collecting, Brent? https://github.com/w3c-webmob/payments-use-cases
[Wed 11:14:57] <bshambaugh>	https://www.w3.org/community/webpayments/wiki/WebPaymentsMobileUseCases 
[Wed 11:15:12] <bshambaugh>	https://github.com/w3c-webmob/payments-use-cases
[Wed 11:15:46] <bshambaugh>	Due to discussions with Marcos Caceres and Natasha Rooney am attempting to apply the following template:
[Wed 11:15:46] <bshambaugh>	Name: name of the solution
[Wed 11:15:46] <bshambaugh>	Use Cases: Key use cases for the solution
[Wed 11:15:46] <bshambaugh>	Regions and currencies: Any SDKs or APIs which are available to developers
[Wed 11:15:46] <bshambaugh>	with the following things to consider (for use cases):
[Wed 11:15:47] <bshambaugh>	(1) add real money to the service
[Wed 11:15:49] <bshambaugh>	(2) buy a physical good in the real wold (e.g., a cup of coffee)
[Wed 11:15:51] <bshambaugh>	(3) pay for physical service (e.g., gym membership)?
[Wed 11:15:53] <bshambaugh>	(4) convert virtual money back into paper money
[Wed 11:15:57] <bshambaugh>	(5) transfer money from one person to another (even if the second person is not signed up for the service)?
[Wed 11:16:00] <bshambaugh>	(6) buy product online
[Wed 11:16:02] <bshambaugh>	(7) resolve disputes?
[Wed 11:16:04] <bshambaugh>	(8) view transactions?
[Wed 11:16:06] <bshambaugh>	(9) secure the wallet
[Wed 11:16:08] <bshambaugh>	(10) etc.
[Wed 11:16:13] <evan>	brent: right now i have a lot of information, trying to fit it in a template
[Wed 11:16:39] <evan>	brent: next stage is to weeding stuff out, make it more digestable
[Wed 11:17:59] <evan>	brent: how the phone is communicating with other devices, new hardware or legacy hardware, existing ACH system or replace that entirely with bitcoin or ripple, start adding info to transactions with payswarm and linked data or namecoin or colored coin?
[Wed 11:18:30] <evan>	brent: emphasis towards trying to use the legacy hardware, difficult to push people to use new stuff
[Wed 11:19:24] <evan>	brent: convert virtual money back into paper money -- might be a small use case
[Wed 11:19:44] <evan>	brent: if you compare stripe and square, square has POS system, stripe is only API no hardware
[Wed 11:20:16] <evan>	brent: many systems store reward card or store credit card info in the system
[Wed 11:21:23] <evan>	manu: fantastic amount of info on the wiki page, condensing all of the info down is easier than getting the info
[Wed 11:21:49] <evan>	manu: natasha was hoping we would have a summary to share with the web payments workshop, need a bit more time to condense it further
